English	Swedish	POS	source	row
destined destination	bestämd destination	N?	0	ICT	830
detail details	detalj detaljer	N?	0	ICT	831
detect, detected, detected	 upptäcka, upptäckte, upptäckt	V	1	GF	452
detection	detektion	N?	0	ICT	833
detection, detections	upptäckt, upptäckten, upptäckter	N	1	GF	453
detector	detektor	N?	0	ICT	834
detect|s detection detectable detected	detektera upptäcker detekterings detekterbar detekteras	N?	0	ICT	832
Determinants [**]		N?	0	ACM	695
determine determines determining determined determination	bestämma Bestämmer bestämmer beslut bestämning	N?	0	ICT	835
determine, determined, determined	 fastställa, fastställde, fastställt	V	1	GF	454
deterministic	deterministisk, deterministiskt, deterministiska	A	1	GF	455
Deterministic [**]	Deterministiska [**]	N?	0	ACM	1213
develop development developments developed developing	utveckla utveckling utvecklingar utvecklade utvecklings	N?	0	ICT	836
develop, developed, developed	 utveckla, utvecklade, utvecklat	V	1	GF	456
developer developers	utvecklare	N?	0	ICT	837
developer, developers	utvecklare, utvecklaren, utvecklare	N	1	GF	457
development environment, development environments	utvecklingsmiljö, utvecklingsmiljöen, utvecklingsmiljöer	N	1	GF	458
development process, development processes	utvecklingsprocess, utvecklingsprocessen, utvecklingsprocesser	N	1	GF	459
development, developments	utveckling, utvecklingen, utvecklingar	N	1	GF	460
developmental	utvecklings	N?	0	ICT	838
deviation	avvikelse	N?	0	ICT	839
device cloud	enhet moln	N?	0	ICT	840
device discovery	enhetsupptäckt	N?	0	ICT	841
device driver, device drivers	drivrutin, drivrutinen, drivrutiner	N	1	GF	461
Device drivers [**]	Drivrutiner [**]	N?	0	ACM	1109
Device independence [**]	Enhetsoberoende	N?	0	ACM	1128
device management	enhetshantering	N?	0	ICT	842
device registration	enhetsregistrering	N?	0	ICT	843
device, devices	enhet, enheten, enheter	N	1	GF	462
device/devices	enhet/enheter	N?	0	ICT	844
Diagnostics	Diagnostik	N?	0	ACM	358
diagnostics	diagnostik	N?	0	ICT	845
Diagnostics [**]	Diagnostik [**]	N?	0	ACM	108
Diagnostics [**]	Diagnostik [**]	N?	0	ACM	22
Diagnostics [**]	Diagnostik [**]	N?	0	ACM	50
Diagnostics [**]	Diagnostik [**]	N?	0	ACM	78
diagram, diagrams	diagram, diagrammet, diagram	N	1	GF	463
dial dials dialed dialing	"ringa ""ringer upp"" uppringda uppringning"	N?	0	ICT	846
Dial over Data (DoD)		N?	0	ICT	847
Dial-Up	Slå-up???	N?	0	ICT	848
dialog dialogs	dialog dialoger	N?	0	ICT	849
Dictionaries		N?	0	ACM	872
dictionary, dictionaries	lexikon, lexikonet, lexikon	N	1	GF	464
differ differs difference differences different	skiljer skiljer skillnads skillnader annorlunda	N?	0	ICT	850
Difference formulas [**]		N?	0	ACM	675
different	annorlunda, annorlunda, annorlunda	A	1	GF	465
differentiable	differentierbar, differentierbart, differentierbara	A	1	GF	466
differential equation, differential equations	differentialekvation, differentialekvationen, differentialekvationer	N	1	GF	467
Differential-algebraic equations		N?	0	ACM	736
differentiate	differentiera	N?	0	ICT	851
differently	annorlunda	N?	0	ICT	852
difficult difficulties	svårt svårigheter	N?	0	ICT	853
diffusion	diffusion	N?	0	ICT	854
digging	grävning	N?	0	ICT	855
digit digits digitized digitally digital	siffriga siffror digitaliseras digitalt digital	N?	0	ICT	856
digital	digital, digitalt, digitala	A	1	GF	468
Digital Audio Broadcasting (DAB)	DAB-sändningar	N?	0	ICT	857
Digital Libraries		N?	0	ACM	900
digital object identifier (DOI)		N?	0	ICT	858
digital security	datasäkerhet	N?	0	ICT	859
digital signage	digitala skyltar	N?	0	ICT	860
digital signal processor, digital signal processors	signalprocessor, signalprocessorn, signalprocessorer	N	1	GF	469
Digital Signal Processor/Digital Signal processing (DSP)	signalprocessor/digital signalbehandling	N?	0	ICT	861
digital signatures	digitala signaturer	N?	0	ICT	862
digital subscriber line (DSL)	digital abonnentanslutning	N?	0	ICT	863
Digital Video Broadcasting - Terrestrial (DVB-T)	Marksänd digital-TV	N?	0	ICT	864
Digitization and Image Capture	Digitalisering och bildfångst	N?	0	ACM	1149
Digitizing and scanning	Digitalisering och bildinläsning	N?	0	ACM	1103
dilemma	dilemma	N?	0	ICT	865
dimension, dimensions	dimension, dimensionen, dimensioner	N	1	GF	470
dimensional	dimensionell, dimensionellt, dimensionella	A	1	GF	471
dimensional speed	dimensionell hastighet	N?	0	ICT	866
diode, diodes	diod, dioden, dioder	N	1	GF	472
direct  directs direction directions directive directives directed	direkt styr riktningsdirektiv riktningar direktivet riktade	N?	0	ICT	867
Direct data manipulation [**]	Direkt datamanipulering [**]	N?	0	ACM	33
direct memory access (DMA)	direkt minnesåtkomst	N?	0	ICT	868
Direct Mode Operation (DMO)		N?	0	ICT	869
direction directional	riktning riktnings	N?	0	ICT	870
directional	riktad, riktat, riktade	A	1	GF	473
directive	direktivet/direktiv	N?	0	ICT	871
directory	katalog/adresskalender	N?	0	ICT	872
Directory structures	Katalogstrukturer	N?	0	ACM	489
directory, directories	katalog, katalogen, kataloger	N	1	GF	474
disabled disabling	inaktiverad invalidiserande	N?	0	ICT	873
disadvantage|s	nackdel|ar	N?	0	ICT	874
disaggregation	disaggregering	N?	0	ICT	875
disagreement	oenighet	N?	0	ICT	876
disappear	försvinna	N?	0	ICT	877
disaster response team	stödstyrkan	N?	0	ICT	878
disaster, disasters	katastrof, katastrofen, katastrofer	N	1	GF	475
disc, discs	disk, disken, diskar	N	1	GF	476
discard discarded	kassera kasserad	N?	0	ICT	879
disconnected operations	frånkopplade operationer	N?	0	ICT	881
disconnect|s disconnected disconnection disconnecting	"bortkopplings ""kopplar ner"" frånkopplad urkoppling ""koppla bort"""	N?	0	ICT	880
discontinuous	diskontinuerlig	N?	0	ICT	882
Discourse	Diskurs	N?	0	ACM	1044
discover discovering	"upptäcka ""att upptäcka"""	N?	0	ICT	883
discovery	upptäckten/fynd	N?	0	ICT	884
discovery, discoveries	upptäckt, upptäckten, upptäckter	N	1	GF	477
discreet	diskret, diskret, diskreta	A	1	GF	478
discrete	diskret, diskret, diskreta	A	1	GF	479
Discrete event	Diskret händelse	N?	0	ACM	1253
discrete event simulation	diskret händelsestyrd simulering	N?	0	ICT	885
DISCRETE MATHEMATICS		N?	0	ACM	763
discrete mathematics, discrete mathematics	diskret matematik, diskreta matematiken, diskreta matematikar	N	1	GF	480
discretionary	oinskränkt, oinskränkt, oinskränkta	A	1	GF	481
discuss discusses discussion	diskutera diskuteras diskussion	N?	0	ICT	886
discuss, discussed, discussed	 diskutera, diskuterade, diskuterat	V	1	GF	482
disease	sjukdom	N?	0	ICT	887
disjunction, disjunctions	disjunktion, disjunktionen, disjunktioner	N	1	GF	483
disk storage	disklagring	N?	0	ICT	888
disk, disks	disk, disken, diskar	N	1	GF	484
dispatch dispatching	avsändande avsändning	N?	0	ICT	889
dispersed	dispergerad	N?	0	ICT	890
displaced	förskjutna	N?	0	ICT	891
Display algorithms	Visningsalgoritmer	N?	0	ACM	1104
display displays displaying	bildskärms visar uppvisar	N?	0	ICT	892
display, displayed, displayed	 uppvisa, uppvisade, uppvisat	V	1	GF	485
display, displays	bildskärm, bildskärmen, bildskärmar	N	1	GF	486
disposal	bortskaffande/förfogande	N?	0	ICT	893
dissector	dissektorn	N?	0	ICT	894
disseminate dissemination	sprida spridning	N?	0	ICT	895
Dissemination		N?	0	ACM	902
dissipated	skingras	N?	0	ICT	896
Distance learning	Distansinlärning	N?	0	ACM	1356
distinct distinction distinctive	distinkt åtskillnad särskiljnings	N?	0	ICT	897
distinguish		N?	0	ICT	898
distribute, distributed, distributed	 distribuera, distribuerade, distribuerat	V	1	GF	487
Distributed	Distribuerad	N?	0	ACM	1254
Distributed applications	Distribuerade tillämpningar	N?	0	ACM	259
Distributed architectures	Distribuerade arkitekturer	N?	0	ACM	226
Distributed Artificial Intelligence	Distribuerad artificiell intelligens	N?	0	ACM	1079
Distributed commercial transactions	Distribuerade handelstransaktioner	N?	0	ACM	1391
distributed computing	distribuerad databehandling	N?	0	ICT	900
distributed context aware networks	distribuerade kontextmedvetna nät	N?	0	ICT	901
Distributed data structures	Distribuerade datastrukturer	N?	0	ACM	538
Distributed databases		N?	0	ACM	843
Distributed databases	Distribuerade databaser	N?	0	ACM	260
Distributed debugging	Distribuerad avlusning	N?	0	ACM	359
distributed distributing distribution	distribuerad distribuerar/fördelar fördelning	N?	0	ICT	902
distributed distribution distributing	distribuerad fördelning fördelande	N?	0	ICT	899
Distributed file systems	Distribuerade filsystem	N?	0	ACM	490
distributed hash table (DHT)	distribuerad hashtabell	N?	0	ICT	903
Distributed memories	Distribuerade minnen	N?	0	ACM	479
Distributed networks	Distribuerade nät	N?	0	ACM	240
Distributed objects	Distribuerade objekt	N?	0	ACM	406
Distributed programming	Distribuerad programmering	N?	0	ACM	307
distributed security scheme	distribuerade säkerhetschema	N?	0	ICT	904
distributed social networks	distribuerade sociala nätverk	N?	0	ICT	905
distributed software development	distribuerad mjukvaruutveckling	N?	0	ICT	906
Distributed systems		N?	0	ACM	889
Distributed Systems	Distribuerade system	N?	0	ACM	257
Distributed systems	Distribuerade system	N?	0	ACM	514
distributed systems	distribuerade system	N?	0	ICT	907
distributed systems, distributed systemses	distribuerat system, distribuerade systemet, distribuerade system	N	1	GF	488
Distributed/network graphics	Distribuerad/nätöverförd grafik	N?	0	ACM	1097
Distribution functions		N?	0	ACM	783
distribution, distributions	distribution, distributionen, distributioner	N	1	GF	489
Distribution, Maintenance, and Enhancement	Distribution, underhåll och förbättringar	N?	0	ACM	371
distributor, distributors	återförsäljare, återförsäljaren, återförsäljare	N	1	GF	490
divide divided dividing division	klyftan uppdelad skilje divisionen	N?	0	ICT	908
divide, divided, divided	 dela, delade, delat	V	1	GF	491
division, divisions	division, divisionen, divisioner	N	1	GF	492
divulge|s	avslöja avslöjar	N?	0	ICT	909
Document analysis	Dokumentanalys	N?	0	ACM	1281
Document and Text Editing	Dokument och redigering av text	N?	0	ACM	1262
DOCUMENT AND TEXT PROCESSING  (H.4, H.5)	DOKUMENT OCH TEXTBEHANDLING (H.4, H.5)	N?	0	ACM	1260
Document Capture (4.1)	Dokumentfångst	N?	0	ACM	1280
document documents documented	dokument    dokumenterade	N?	0	ICT	910
Document management	Dokumenthantering	N?	0	ACM	1263
document management	dokumenthantering	N?	0	ICT	911
document object model (DOM)		N?	0	ICT	912
Document Preparation	Dokumentpreparering	N?	0	ACM	1267
document, documented, documented	 dokumentera, dokumenterade, dokumenterat	V	1	GF	493
document, documents	dokument, dokumentet, dokument	N	1	GF	494
Documentation		N?	0	ACM	802
Documentation	Dokumentation	N?	0	ACM	373
documentation, documentations	dokumentation, dokumentationen, dokumentationer	N	1	GF	495
doing	gör	N?	0	ICT	913
Domain decomposition methods		N?	0	ACM	744
domain domains	domän domäner	N?	0	ICT	914
Domain engineering		N?	0	ACM	409
domain name system (DNS)	domännamnssystemet	N?	0	ICT	915
domain name system (DNS) analysis	analys av domännamnssystem 	N?	0	ICT	916
Domain Name System Security Extensions (DNSSEC)		N?	0	ICT	917
domain name system, domain name systems	domännamnssystem, domännamnssystemet, domännamnssystem	N	1	GF	496
domain name, domain names	domännamn, domännamnet, domännamn	N	1	GF	497
domain specific language	domänspecifika språk	N?	0	ICT	918
domain specific visual language	domänspecifika bildspråk	N?	0	ICT	919
domain, domains	domän, domänen, domäner	N	1	GF	498
domain-flux	domän-flux	N?	0	ICT	920
Domain-specific architectures	Domänspecifika arkitekturer	N?	0	ACM	400
domain-specific language, domain-specific languages	domänspecifikt språk, domänspecifika språket, domänspecifika språk	N	1	GF	499
dominate dominant	dominera dominerande	N?	0	ICT	921
dongles	donglar	N?	0	ICT	922
donor	donator	N?	0	ICT	923
door lock	dörrlås	N?	0	ICT	924
dot gain	punktförstoring/tonala värdeökning	N?	0	ICT	925
dot, dots	punkt, punkten, punkter	N	1	GF	500
double, doubled, doubled	 dubbla, dubblade, dubblat	V	1	GF	501
double, doubles	dubbel, dubblet, dubbel	N	1	GF	502
doubled	fördubblats	N?	0	ICT	926
downconverting	nedkonvertering	N?	0	ICT	927
downgrade downgraded downgrading	nedgradera nedgraderade nedgradering	N?	0	ICT	928
download downloads downloaded	"""ladda ner""/nerladda  nedladdningar nedladdade"	N?	0	ICT	929
download, downloaded, downloaded	 hämta, hämtade, hämtat	V	1	GF	503
download, downloads	nedladdning, nedladdningen, nedladdningar	N	1	GF	504
draft drafts	utkast	N?	0	ICT	930
drag, dragged, dragged	 dra, drade, drat	V	1	GF	505
drain	dränera	N?	0	ICT	931
drive driven driving	driv kört körning	N?	0	ICT	932
drive, drives	disk, disken, diskar	N	1	GF	506
drop dropped dropping	släppa tappade dropp	N?	0	ICT	933
drop, dropped, dropped	 släppa, släppte, släppt	V	1	GF	507
drop, drops	fall, fallet, fall	N	1	GF	508
ducts	kanaler	N?	0	ICT	934
due to	på grund av	N?	0	ICT	935
Dumps [**]	Dumpar [**]	N?	0	ACM	360
duopoly	duopol	N?	0	ICT	936
duplex duplexing	duplex duplexe	N?	0	ICT	937
duplicate|s	duplicera dubbletter	N?	0	ICT	938
duration durations	dubblett/duration löptider	N?	0	ICT	939
dynamic	dynamisk, dynamiskt, dynamiska	A	1	GF	509
dynamic allocation	dynamisk allokering	N?	0	ICT	941
dynamic amplification	dynamisk förstoring	N?	0	ICT	942
dynamic distributed derived data management system (D4M)	dynamisk distribuerad härrör datahanteringssystem	N?	0	ICT	943
dynamic dynamically	dynamisk dynamiskt	N?	0	ICT	944
Dynamic memory (DRAM)	Dynamiskt RAM-minne (DRAM)	N?	0	ACM	61
Dynamic Network Analysis Tool (DNAT)		N?	0	ICT	945
Dynamic programming	Dynamisk programmering	N?	0	ACM	1054
dynamic programming	dynamisk programmering	N?	0	ICT	946
dynamic programming, dynamic programmings	dynamisk programmering, dynamiska programmeringen, dynamiska programmeringar	N	1	GF	510
dynamic reconfiguration	dynamisk omkonfigurering	N?	0	ICT	947
dynamic response	dynamisk respons	N?	0	ICT	948
dynamic spectrum access	dynamiskt spektrum tillgång	N?	0	ICT	949
Dynamic storage management	Dynamisk lagringshantering	N?	0	ACM	444
dynamic, dynamics	dynamik, dynamiken, dynamiker	N	1	GF	511
dynamics, dynamics	dynamik, dynamiken, dynamiker	N	1	GF	512
dynamic|s dynamic	dynamik dynamik dynamiskt	N?	0	ICT	940
e-book	e-bok	N?	0	ICT	953
e-business	e-handel	N?	0	ICT	954
e-government	E-förvaltning (24-timmarsmyndighet)	N?	0	ICT	975
e-health	eHälsa	N?	0	ICT	976
e-learning	e-lärande	N?	0	ICT	982
e-mail	e-post	N?	0	ICT	997
earlier	tidigare	N?	0	ICT	950
early	tidig	N?	0	ICT	951
Earth and atmospheric sciences	Geovetenskap och atmosfärsvetenskap	N?	0	ACM	1303
easy easier easily	lätt/enkel lättare lätt	N?	0	ICT	952
eco-driving	ekokörning	N?	0	ICT	955
economic economics economically	ekonomiska ekonomi ekonomiskt	N?	0	ICT	956
economical justifiable	ekonomiskt försvarbart	N?	0	ICT	958
Economics	Ekonomi	N?	0	ACM	1313
Economics	Ekonomi	N?	0	ACM	1414
economy	ekonomi	N?	0	ICT	957
Edge and feature detection	Kantdetektering och särdragsdetektering	N?	0	ACM	1177
edge user	kant användaren	N?	0	ICT	959
ediscovery/e-discovery		N?	0	ICT	960
edition	utgåva	N?	0	ICT	961
edition, editions	upplaga, upplagan, upplagor	N	1	GF	513
editor, editors	redigerare, redigeraren, redigerare	N	1	GF	514
education	undervisning/utbildning	N?	0	ICT	962
Education	Utbildning	N?	0	ACM	1291
education for sustainable development	utbildning för hållbar utveckling/lärande för hållbar utveckling	N?	0	ICT	963
education software	utbildning programvara	N?	0	ICT	964
education, educations	utbildning, utbildningen, utbildningar	N	1	GF	515
educational program, educational programs	utbildningsprogram, utbildningsprogrammet, utbildningsprogram	N	1	GF	516
educational programme, educational programmes	utbildningsprogram, utbildningsprogrammet, utbildningsprogram	N	1	GF	517
EEPROM		N?	0	ICT	965
effect effects effective effectively	effekt effekter effektiva effektivt	N?	0	ICT	966
effect, effected, effected	 genomföra, genomförde, genomfört	V	1	GF	518
effect, effects	effekt, effekten, effekter	N	1	GF	519
effective	effektiv, effektivt, effektiva	A	1	GF	520
effective communication	effektiv kommunikation	N?	0	ICT	967
effective market hypothesis	effektiva marknadsteorin	N?	0	ICT	968
effective project communication	effektiv projektkommunikation	N?	0	ICT	969
effectiveness	effektivitet	N?	0	ICT	970
Efficiency		N?	0	ACM	803
efficiency	effektivisering/effektivitet	N?	0	ICT	971
efficient	effektiv, effektivt, effektiva	A	1	GF	521
efficient efficiently	effektivitet effektivt	N?	0	ICT	972
effort efforts	ansträngningar ansträngningen	N?	0	ICT	973
effortlessly	"""utan ansträngning"""	N?	0	ICT	974
Eigenvalues and eigenvectors (direct and iterative methods)		N?	0	ACM	696
eight	åtta	N?	0	ICT	977
elaborate	utarbeta	N?	0	ICT	978
elastic computing	elastisk databehandling	N?	0	ICT	979
elastic traffic	elastisk trafik	N?	0	ICT	980
elasticity model	elasticitet modell	N?	0	ICT	981
electrical	elektrisk, elektriskt, elektriska	A	1	GF	522
electrical electricity	elektrisk elektricitet	N?	0	ICT	983
electricity, electricities	elektricitet, elektriciteten, elektriciteter	N	1	GF	523
electrocardiogram (ECG)	elektrokardiogram	N?	0	ICT	984
electrocardiogram (ECG) analysis	elektrokardiogram (EKG)-analys	N?	0	ICT	985
electromagnetic	elektromagnetisk, elektromagnetiskt, elektromagnetiska	A	1	GF	524
electromagnetic wave, electromagnetic waves	elektromagnetisk strålning, elektromagnetiska strålningen, elektromagnetiska strålningar	N	1	GF	525
electromechanical	elektromekaniska	N?	0	ICT	986
electromotive force (EMF)	elektromotorisk kraft 	N?	0	ICT	987
electronic	elektronisk	N?	0	ICT	988
electronic	elektronisk, elektroniskt, elektroniska	A	1	GF	526
Electronic Commerce  (J.1)	Elektronisk handel (J.1)	N?	0	ACM	1389
Electronic Control Unit (ECU)	styrenhet för ett fordon	N?	0	ICT	989
Electronic data interchange (EDI)	Elektronisk meddelandeutväxling (EDI)	N?	0	ACM	1392
electronic health record	elektroniska patientjournaler	N?	0	ICT	990
Electronic mail		N?	0	ACM	923
electronic patient record (EPR)	elektroniska patientjournaler	N?	0	ICT	991
electronic program guide (EPG)	elektronisk programguide	N?	0	ICT	992
Electronic Publishing  (H.5.4, J.7)	Elektronisk publicering (H.5.4, J7)	N?	0	ACM	1279
Electronics	Elektronik	N?	0	ACM	1304
electronics, electronics	elektronik, elektroniken, elektroniker	N	1	GF	527
element elements	element elementet	N?	0	ICT	993
element, elements	element, elementet, element	N	1	GF	528
Elementary function approximation		N?	0	ACM	683
elephant	elefant	N?	0	ICT	994
Elicitation methods (e.g., rapid prototyping, interviews, JAD)	Framlockningsmetoder (t.ex. prototypsystem, intervjuer, JAD	N?	0	ACM	319
eliminates eliminated	eliminerar elimineras	N?	0	ICT	995
elliptic	elliptisk, elliptiskt, elliptiska	A	1	GF	529
Elliptic equations		N?	0	ACM	745
elsewhere	annorstädes	N?	0	ICT	996
emanating	emanerar	N?	0	ICT	998
embed, embedded, embedded	 inbädda, inbäddade, inbäddat	V	1	GF	530
embedded	inbäddade	N?	0	ICT	999
embedded security	inbäddad säkerhetlösningar	N?	0	ICT	1000
embedded system	inbyggda system	N?	0	ICT	1001
embedded systems testing	inbyggda system testning	N?	0	ICT	1002
embodies	förkroppsligar	N?	0	ICT	1003
emergency emergencies emerging	"""akut nödsituation"" ""akuta nödsituationer"" ""under utveckling"""	N?	0	ICT	1004
emergency, emergencys	kris, krisen, kriser	N	1	GF	531
emergent emerging	emergent växande	N?	0	ICT	1005
emission prediction	utsläpps förutsägelse	N?	0	ICT	1006
emission prediction application	utsläpps förutsägelse programmet	N?	0	ICT	1007
emitting	emitterande	N?	0	ICT	1008
eMobility		N?	0	ICT	1009
emotion	känsla	N?	0	ICT	1010
emphasis	tonvikt	N?	0	ICT	1011
empirical	empirisk, empiriskt, empiriska	A	1	GF	532
employed	anställd	N?	0	ICT	1012
employee engagement	medarbetarnas engagemang	N?	0	ICT	1013
employee, employees	anställd, anställda, anställda	N	1	GF	533
employer brand	arbetsgivarvarumärke	N?	0	ICT	1014
Employment	Sysselsättning	N?	0	ACM	1382
Employment	Sysselsättning	N?	0	ACM	1387
empty set, empty sets	tom mängd, tomma mängden, tomma mängder	N	1	GF	534
emulates emulation	emulerar emulering	N?	0	ICT	1015
emulator	emulator	N?	0	ICT	1016
emulator for contactless card	emulator för kontaktlösa kort	N?	0	ICT	1017
EMV security	EMV-säkerhet	N?	0	ICT	1018
enable enables enabled enabling	möjliggöra möjliggör aktiverat möjliggör	N?	0	ICT	1019
enable, enabled, enabled	 möjliggöra, möjliggjorde, möjliggjort	V	1	GF	535
encapsulates encapsulated encapsulating	inkapslar inkapslad inkapslande	N?	0	ICT	1020
encapsulation, encapsulations	inkapsling, inkapslingen, inkapslingar	N	1	GF	536
encode encoded encoding	koda kodad kodning	N?	0	ICT	1021
encode, encoded, encoded	 koda, kodade, kodat	V	1	GF	537
encoding strategy	kodningsstrategi	N?	0	ICT	1022
encodings encoding encoded encoder	kodningar kodning kodas kodare	N?	0	ICT	1023
encourage encourages	uppmuntra uppmuntrar	N?	0	ICT	1024
encrypt encrypted encryption	kryptera krypterad kryptering	N?	0	ICT	1025
encrypt, encrypted, encrypted	 kryptera, krypterade, krypterat	V	1	GF	538
encryption	kryptering	N?	0	ICT	1026
encryption, encryptions	kryptering, krypteringen, krypteringar	N	1	GF	539
end ends ended	slut/ände slutar slutade	N?	0	ICT	1027
end user, end users	slutanvändare, slutanvändaren, slutanvändare	N	1	GF	540
end users/employees/people (human factor)	slutanvändare / anställda / personer (mänskliga faktorn)	N?	0	ICT	1028
end, ended, ended	 avsluta, avslutade, avslutat	V	1	GF	541
end, ends	slut, slutet, slut	N	1	GF	542
end-to-end	"""ändpunkt till ändpunkt""/obruten"	N?	0	ICT	1030
end-to-end delay	end-to-end-fördröjning	N?	0	ICT	1031
endpoint endpoints	ändpunkts ändpunkterna	N?	0	ICT	1029
energy	energi	N?	0	ICT	1032
energy and power networks	energi och elnät	N?	0	ICT	1033
energy consumption	energiförbrukning	N?	0	ICT	1035
energy detector	energi detektor	N?	0	ICT	1036
energy harvesting	energi skörd	N?	0	ICT	1038
energy requirements	energikrav	N?	0	ICT	1039
energy saving potential	energisparpotential	N?	0	ICT	1040
energy savings	energibesparingar	N?	0	ICT	1041
energy scavenging	energi borttagande	N?	0	ICT	1042
energy storage	energilagring	N?	0	ICT	1043
energy systems	energisystem	N?	0	ICT	1044
energy, energies	energi, energin, energier	N	1	GF	543
energy-conserving	energibesparande	N?	0	ICT	1034
energy-efficient	energieffektiv	N?	0	ICT	1045
enforcement	verkställighet	N?	0	ICT	1046
Engelsk rubrik	Svensk rubrik	N?	0	ACM	
engine, engines	motor, motorn, motorer	N	1	GF	544
Engineering	Teknik	N?	0	ACM	1305
engineering, engineerings	ingenjörsvetenskap, ingenjörsvetenskapen, ingenjörsvetenskaper	N	1	GF	545
engineer|s engineering engineered	ingenjör|er ingenjörs ???	N?	0	ICT	1048
engine|s	motor|er	N?	0	ICT	1047
English - Word or Words	Swedish	N?	0	ICT	
enhance enhanced	förbättra förbättrad	N?	0	ICT	1049
enhance, enhanced, enhanced	 höja, höjde, höjt	V	1	GF	546
Enhanced Data Rates for GSM Evolution (EDGE)		N?	0	ICT	1050
Enhancement	Förbättring	N?	0	ACM	1160
Enhancement [**]	Förbättringar [**]	N?	0	ACM	374
enhancement, enhancements	förbättring, förbättringen, förbättringar	N	1	GF	547
enhancement|s	förbättring förbättringar	N?	0	ICT	1051
enjoy	njuta	N?	0	ICT	1052
enlighted		N?	0	ICT	1053
enormous	enorma	N?	0	ICT	1054
enough	tillräckligt	N?	0	ICT	1055
enqueue	placera i kö	N?	0	ICT	1056
enriched	berikad	N?	0	ICT	1057
enroute	på rutten	N?	0	ICT	1058
ensure ensures	säkerställa säkerställer	N?	0	ICT	1059
enterprise	företagsamhet	N?	0	ICT	1061
enterprise application	företagsprogram	N?	0	ICT	1062
enterprise resource planning (ERP)	affärssystem	N?	0	ICT	1063
enterprise resource planning systems	affärssystem	N?	0	ICT	1064
enterprise social networks	företagsinriktade sociala nätverk	N?	0	ICT	1065
enterprise system	affärssystem	N?	0	ICT	1066
enterprise voice	företagets röst	N?	0	ICT	1067
enter|s entered entering	"ange inträder angett ""kommer in"""	N?	0	ICT	1060
entire	hela	N?	0	ICT	1068
entity entities	entitets enheter	N?	0	ICT	1069
entity, entities	entitet, entiteten, entiteter	N	1	GF	548
entrepreneurship	entreprenörskap	N?	0	ICT	1070
entry	tillträde	N?	0	ICT	1071
entry requirement, entry requirements	behörighet, behörigheten, behörigheter	N	1	GF	549
entry, entries	inträde, inträdet, inträden	N	1	GF	550
envelope	kuvert	N?	0	ICT	1072
environment, environments	miljö, miljön, miljöer	N	1	GF	551
environmental	miljö-	N?	0	ICT	1074
environmental education	miljöutbildning	N?	0	ICT	1075
environmental impact	miljöpåverkan	N?	0	ICT	1076
environmental impact statement	miljökonsekvensbeskrivning	N?	0	ICT	1077
Environments	Miljöer	N?	0	ACM	1248
environment|s	miljö|er	N?	0	ICT	1073
envisioned	föreställde	N?	0	ICT	1078
epidemic	epidemi	N?	0	ICT	1079
epitaxial lateral growth	epitaxiella laterala tillväxten	N?	0	ICT	1080
equal	lika/jämlik/motsvara	N?	0	ICT	1081
Equal interval integration [**]		N?	0	ACM	706
equalize equalizers equalization	utjämna utjämnare utjämning	N?	0	ICT	1082
equalizer, equalizers	utjämnare, utjämnaren, utjämnare	N	1	GF	552
equated	likställas	N?	0	ICT	1083
equation, equations	ekvation, ekvationen, ekvationer	N	1	GF	553
Equipment [**]		N?	0	ACM	911
equipment, equipments	utrustning, utrustningen, utrustningar	N	1	GF	554
equipped equipment equips	utrustad utrustning utrustar	N?	0	ICT	1084
equivalent	ekvivalent	N?	0	ICT	1085
Ergonomics		N?	0	ACM	939
Ergonomics	Ergonomi	N?	0	ACM	1129
ergonomics	ergonomi	N?	0	ICT	1086
Ericssons Business Communication Suite (BCS)		N?	0	ICT	1087
erroneous	felaktig/oriktig	N?	0	ICT	1090
Error analysis		N?	0	ACM	668
Error analysis		N?	0	ACM	697
Error analysis		N?	0	ACM	707
Error analysis		N?	0	ACM	715
Error analysis		N?	0	ACM	737
Error control codes	Felkoder	N?	0	ACM	558
error errors	fel	N?	0	ICT	1088
Error handling and recovery	Felhantering och återstart	N?	0	ACM	361
error sources	felkälla	N?	0	ICT	1089
error, errors	fel, felet, fel	N	1	GF	555
Error-checking [**]	Felkontroll [**]	N?	0	ACM	109
Error-checking [**]	Felkontroll [**]	N?	0	ACM	130
Error-checking [**]	Felkontroll [**]	N?	0	ACM	147
Error-checking [**]	Felkontroll [**]	N?	0	ACM	178
Error-checking [**]	Felkontroll [**]	N?	0	ACM	23
Error-checking [**]	Felkontroll [**]	N?	0	ACM	51
Error-checking [**]	Felkontroll [**]	N?	0	ACM	79
escape, escaped, escaped	 fly, flydde, flytt	V	1	GF	556
escape, escapes	flykt, flykten, flykter	N	1	GF	557
escrow escrowed	spärrade/depositionsavtal	N?	0	ICT	1091
essential	essentiell, essentiellt, essentiella	A	1	GF	558
essential essentially	väsentlig väsentligen	N?	0	ICT	1092
essential, essentials	väsentlighet, väsentligheten, väsentligheter	N	1	GF	559
establish establishes establishment established establishing	fastställa fastställe etablerat fastställande	N?	0	ICT	1093
establish, established, established	 etablera, etablerade, etablerat	V	1	GF	560
estimate, estimated, estimated	 estimera, estimerade, estimerat	V	1	GF	561
estimation estimates estimated	uppskattningar uppskattar uppskattade	N?	0	ICT	1094
Ethernet (e.g., CSMA/CD)	Ethernet (t.ex. CSMA/CD)	N?	0	ACM	265
